date,open,close,high,low
1999-11-01,80.0,77.62,80.69,77.37
1999-11-02,78.0,80.25,81.69,77.31
1999-11-03,81.62,81.5,83.25,81.0
1999-11-04,82.06,83.62,85.37,80.62
1999-11-05,84.62,88.31,88.37,84.0
1999-11-08,87.75,96.37,97.73,86.75
1999-11-09,94.37,89.62,94.5,88.0
1999-11-10,88.25,91.44,93.25,88.12
1999-11-11,91.59,92.25,92.62,89.87
1999-11-12,91.94,90.62,92.0,87.37
1999-11-15,89.62,89.44,92.87,88.5
1999-11-16,90.0,91.19,91.75,88.5
1999-11-17,90.69,90.25,94.75,90.0
1999-11-18,91.06,89.62,91.12,88.44
1999-11-19,89.5,92.44,92.87,88.06
1999-11-22,91.75,90.62,91.75,89.25
1999-11-23,91.75,92.81,95.25,88.5
1999-11-24,93.0,94.69,95.0,91.69
1999-11-26,94.75,95.06,95.5,94.12
1999-11-29,94.25,94.56,99.75,93.25
1999-11-30,98.12,97.87,103.75,97.37
1999-12-01,101.0,103.06,104.5,100.06
1999-12-02,103.12,110.19,110.62,101.75
1999-12-03,112.19,115.0,115.56,111.87
1999-12-06,114.56,116.0,117.31,111.44
1999-12-07,116.56,117.81,118.0,114.0
1999-12-08,116.25,110.06,117.87,109.5
1999-12-09,111.0,105.25,111.0,100.87
1999-12-10,105.31,103.0,109.25,99.0
1999-12-13,102.39,99.0,102.5,98.94
1999-12-14,98.37,94.87,99.75,94.75
1999-12-15,93.25,97.0,97.25,91.06
1999-12-16,98.0,98.31,98.37,94.0
1999-12-17,100.87,100.0,102.0,98.5
1999-12-20,99.56,98.0,99.62,96.62
1999-12-21,98.19,102.5,103.06,97.94
1999-12-22,102.87,99.94,104.56,98.75
1999-12-23,101.81,103.5,104.25,101.06
1999-12-27,104.37,99.31,104.44,99.25
1999-12-28,99.12,98.19,99.62,95.0
1999-12-29,96.81,100.69,102.19,95.5
1999-12-30,102.19,100.31,104.12,99.62
1999-12-31,100.94,102.81,102.87,99.5
2000-01-03,104.87,111.94,112.5,101.69
2000-01-04,108.25,102.5,110.62,101.19
2000-01-05,103.75,104.0,110.56,103.0
2000-01-06,106.12,95.0,107.0,95.0
2000-01-07,96.5,99.5,101.0,95.5
2000-01-10,102.0,97.75,102.25,94.75
2000-01-11,95.94,92.75,99.37,90.5
2000-01-12,95.0,87.19,95.5,86.5
2000-01-13,94.48,96.75,98.75,92.5
2000-01-14,100.0,100.44,102.25,99.37
2000-01-18,101.0,103.94,106.0,100.44
2000-01-19,105.62,106.56,108.75,103.37
2000-01-20,115.5,113.5,121.5,113.5
2000-01-21,114.25,111.31,114.25,110.19
2000-01-24,108.44,106.25,112.75,105.12
2000-01-25,105.0,112.25,113.12,102.37
2000-01-26,110.0,110.19,114.19,109.75
2000-01-27,108.81,110.0,113.0,107.0
2000-01-28,108.19,101.62,110.87,100.62
2000-01-31,101.0,103.75,103.87,94.5
2000-02-01,104.0,100.25,105.0,100.0
2000-02-02,100.75,98.81,102.12,97.0
2000-02-03,100.31,103.31,104.25,100.25
2000-02-04,103.94,108.0,110.0,103.62
2000-02-07,108.0,114.06,114.25,105.94
2000-02-08,114.0,114.87,116.12,111.25
2000-02-09,114.12,112.62,117.12,112.44
2000-02-10,112.87,113.5,113.87,110.0
2000-02-11,113.62,108.75,114.12,108.25
2000-02-14,109.31,115.81,115.87,108.62
2000-02-15,115.25,119.0,119.94,115.19
2000-02-16,117.75,114.12,118.12,112.12
2000-02-17,115.19,114.87,115.5,113.12
2000-02-18,114.62,111.25,115.37,110.87
2000-02-22,110.12,113.81,116.94,106.69
2000-02-23,113.23,116.25,119.0,111.0
2000-02-24,117.31,115.2,119.12,111.75
2000-02-25,114.81,110.37,117.0,110.12
2000-02-28,110.12,113.25,115.0,108.37
2000-02-29,113.56,114.62,117.25,112.56
2000-03-01,118.56,130.31,132.06,118.5
2000-03-02,127.0,122.0,127.94,120.69
2000-03-03,124.87,128.0,128.23,120.0
2000-03-06,126.0,125.69,129.13,125.0
2000-03-07,126.44,122.87,127.44,121.12
2000-03-08,122.87,122.0,123.94,118.56
2000-03-09,120.87,122.25,125.0,118.25
2000-03-10,121.69,125.75,127.94,121.0
2000-03-13,122.12,121.31,126.5,119.5
2000-03-14,121.22,114.25,124.25,114.0
2000-03-15,115.62,116.25,120.25,114.12
2000-03-16,117.31,121.56,122.0,114.5
2000-03-17,120.12,125.0,125.0,119.62
2000-03-20,123.5,123.0,126.25,122.37
2000-03-21,122.56,134.94,136.75,121.62
2000-03-22,132.78,144.19,144.38,131.56
2000-03-23,142.0,141.31,150.38,140.0
2000-03-24,142.44,138.69,143.94,135.5
2000-03-27,137.63,139.56,144.75,136.88
2000-03-28,137.25,139.13,142.0,137.13
2000-03-29,139.38,135.94,139.44,133.83
2000-03-30,133.56,125.75,137.69,125.44
2000-03-31,127.44,135.81,137.25,126.0
2000-04-03,135.5,133.31,139.5,129.44
2000-04-04,132.63,127.31,133.0,116.75
2000-04-05,126.47,130.38,132.88,124.0
2000-04-06,130.63,125.19,134.5,123.25
2000-04-07,127.25,131.75,131.88,125.5
2000-04-10,131.69,125.0,132.75,124.75
2000-04-11,123.5,119.44,124.87,118.06
2000-04-12,119.0,109.25,119.0,104.87
2000-04-13,111.5,113.81,120.0,108.5
2000-04-14,109.31,111.87,118.0,109.0
2000-04-17,109.5,123.87,123.94,109.06
2000-04-18,123.5,126.87,126.87,119.37
2000-04-19,126.19,121.12,130.25,119.75
2000-04-20,123.69,118.87,124.75,117.06
2000-04-24,115.0,120.5,120.5,114.75
2000-04-25,122.12,128.31,128.75,122.06
2000-04-26,126.62,121.31,128.0,120.0
2000-04-27,117.19,126.75,127.0,116.58
2000-04-28,127.12,124.06,127.5,121.31
2000-05-01,124.87,124.31,125.12,121.87
2000-05-02,123.25,117.87,126.25,117.5
2000-05-03,118.94,115.06,121.25,111.62
2000-05-04,115.12,110.69,115.25,110.56
2000-05-05,110.81,113.12,114.75,110.72
2000-05-08,112.09,110.12,113.69,110.0
2000-05-09,110.31,105.44,111.25,104.87
2000-05-10,104.06,99.31,105.0,98.75
2000-05-11,101.37,102.81,104.25,99.0
2000-05-12,106.0,107.62,110.5,104.77
2000-05-15,108.06,101.0,108.06,100.12
2000-05-16,104.52,105.69,109.06,102.75
2000-05-17,103.62,101.37,103.69,100.37
2000-05-18,103.0,100.75,104.94,100.62
2000-05-19,99.25,94.0,99.25,93.37
2000-05-22,93.75,89.94,93.75,86.0
2000-05-23,90.5,85.81,93.37,85.62
2000-05-24,86.19,87.69,89.75,83.0
2000-05-25,88.5,87.27,92.66,86.0
2000-05-26,88.0,86.37,89.87,85.25
2000-05-30,87.62,87.56,88.12,81.75
2000-05-31,86.87,84.0,91.25,83.81
2000-06-01,81.75,89.12,89.56,80.37
2000-06-02,93.75,92.56,99.75,89.0
2000-06-05,93.31,91.31,95.25,89.69
