date,open,close,high,low
1999-11-01,68.06,69.13,71.88,66.31
1999-11-02,69.75,66.44,70.0,65.06
1999-11-03,68.19,65.81,68.5,65.0
1999-11-04,67.19,63.06,67.19,61.0
1999-11-05,64.75,64.94,65.5,62.25
1999-11-08,64.81,78.0,80.0,63.5
1999-11-09,80.88,70.81,83.06,70.0
1999-11-10,71.56,72.0,75.0,70.13
1999-11-11,74.75,73.0,75.0,71.38
1999-11-12,73.75,74.94,75.0,70.81
1999-11-15,75.63,73.5,76.0,73.31
1999-11-16,74.25,78.94,79.63,73.75
1999-11-17,77.94,76.5,80.0,75.44
1999-11-18,76.75,77.94,78.19,75.25
1999-11-19,77.88,77.94,78.13,76.06
1999-11-22,77.88,80.5,82.5,76.0
1999-11-23,80.38,81.75,85.63,76.25
1999-11-24,84.25,87.25,87.75,83.25
1999-11-26,91.06,93.13,95.13,90.5
1999-11-29,95.5,90.44,96.88,90.13
1999-11-30,88.27,85.06,88.88,83.81
1999-12-01,87.25,85.0,87.63,81.97
1999-12-02,86.0,89.06,91.31,85.63
1999-12-03,92.5,86.56,93.38,86.06
1999-12-06,86.88,87.38,89.88,84.69
1999-12-07,88.0,86.06,88.0,84.38
1999-12-08,86.81,88.0,93.0,86.75
1999-12-09,95.25,103.6,113.0,93.44
1999-12-10,111.4,106.7,112.0,104.4
1999-12-13,106.6,102.5,106.6,101.5
1999-12-14,103.8,95.63,104.0,95.0
1999-12-15,92.88,96.5,99.44,91.0
1999-12-16,98.25,94.88,98.75,93.5
1999-12-17,97.19,94.06,97.63,93.81
1999-12-20,97.75,97.0,101.6,95.06
1999-12-21,96.56,99.88,100.4,96.56
1999-12-22,100.6,97.69,100.6,95.5
1999-12-23,98.0,90.0,99.0,89.06
1999-12-27,87.75,81.13,88.25,80.13
1999-12-28,83.06,82.31,86.5,81.56
1999-12-29,83.44,83.5,85.38,82.63
1999-12-30,84.63,79.06,85.13,78.5
1999-12-31,79.31,76.13,79.38,76.0
2000-01-03,81.5,89.38,89.56,80.0
2000-01-04,85.38,81.94,91.5,81.75
2000-01-05,70.75,71.75,75.13,69.63
2000-01-06,71.31,65.56,72.69,64.0
2000-01-07,67.0,69.56,70.5,66.19
2000-01-10,72.56,69.19,72.63,65.56
2000-01-11,66.88,66.75,70.0,65.0
2000-01-12,67.88,63.56,68.0,63.0
2000-01-13,64.94,65.94,67.19,63.13
2000-01-14,66.75,64.25,68.5,64.0
2000-01-18,63.44,64.13,65.19,63.0
2000-01-19,64.13,66.81,67.5,63.0
2000-01-20,66.94,64.75,67.0,63.94
2000-01-21,64.63,62.06,64.63,60.0
2000-01-24,67.56,70.13,73.38,67.5
2000-01-25,70.0,69.25,71.25,66.0
2000-01-26,68.63,64.81,70.0,64.75
2000-01-27,65.19,66.94,67.75,64.63
2000-01-28,65.0,61.69,66.44,60.0
2000-01-31,60.38,64.56,64.75,58.44
2000-02-01,67.5,67.44,70.63,64.38
2000-02-02,67.94,69.44,72.25,67.75
2000-02-03,81.13,84.19,85.94,77.38
2000-02-04,82.75,78.56,82.75,78.0
2000-02-07,76.19,75.0,76.88,73.13
2000-02-08,74.0,83.13,84.0,73.44
2000-02-09,80.55,80.25,83.73,80.02
2000-02-10,78.5,76.19,79.88,75.5
2000-02-11,77.13,76.19,79.13,75.5
2000-02-14,75.69,74.44,75.75,73.56
2000-02-15,73.44,73.81,76.19,70.63
2000-02-16,72.75,70.69,73.44,70.63
2000-02-17,71.25,69.0,71.31,68.0
2000-02-18,68.44,64.75,69.0,63.88
2000-02-22,64.94,63.56,66.5,63.06
2000-02-23,64.88,70.44,71.75,64.69
2000-02-24,70.56,68.44,71.38,65.63
2000-02-25,67.44,69.13,69.38,65.19
2000-02-28,66.56,65.75,67.19,64.13
2000-02-29,66.0,68.88,68.97,65.88
2000-03-01,67.63,65.88,68.5,65.0
2000-03-02,64.94,62.56,65.0,62.19
2000-03-03,63.25,62.5,64.75,62.06
2000-03-06,62.88,63.94,67.25,62.81
2000-03-07,64.88,63.5,65.81,62.13
2000-03-08,63.25,63.63,64.75,60.56
2000-03-09,63.0,68.81,69.0,62.19
2000-03-10,67.25,66.88,68.53,65.0
2000-03-13,64.0,65.31,66.63,63.0
2000-03-14,66.06,65.63,66.94,63.38
2000-03-15,64.75,63.75,65.13,62.0
2000-03-16,62.25,66.25,66.38,60.0
2000-03-17,66.06,64.81,66.38,64.5
2000-03-20,63.5,64.19,64.5,62.38
2000-03-21,65.13,72.38,73.0,62.25
2000-03-22,70.88,70.69,74.0,69.25
2000-03-23,69.5,67.69,70.94,67.5
2000-03-24,74.62,72.69,75.25,71.31
2000-03-27,72.25,73.13,75.13,71.75
2000-03-28,72.38,70.13,72.75,69.47
2000-03-29,69.5,66.25,69.88,65.0
2000-03-30,64.5,66.5,67.38,64.0
2000-03-31,66.75,67.0,67.13,63.0
2000-04-03,65.44,63.56,65.69,62.0
2000-04-04,62.88,63.94,65.44,55.75
2000-04-05,61.75,62.19,64.94,60.5
2000-04-06,63.44,64.25,65.5,61.88
2000-04-07,65.13,67.56,68.63,64.13
2000-04-10,67.25,63.38,68.44,63.25
2000-04-11,62.5,63.38,66.0,61.25
2000-04-12,64.0,56.38,64.38,56.25
2000-04-13,57.88,48.0,58.75,47.94
2000-04-14,47.88,46.88,52.38,40.81
2000-04-17,45.25,47.06,52.0,44.63
2000-04-18,47.63,54.94,56.25,47.13
2000-04-19,55.31,53.44,55.31,51.69
2000-04-20,53.38,52.38,53.69,49.88
2000-04-24,49.38,49.81,51.56,44.88
2000-04-25,51.81,52.44,54.13,50.25
2000-04-26,53.31,53.5,57.44,52.45
2000-04-27,49.31,52.88,55.25,48.5
2000-04-28,54.0,55.19,55.63,53.13
2000-05-01,56.0,59.94,60.31,55.25
2000-05-02,59.19,56.13,60.0,55.88
2000-05-03,55.25,54.13,56.56,53.0
2000-05-04,54.25,55.06,56.5,53.13
2000-05-05,54.63,58.5,58.63,54.13
2000-05-08,56.81,56.02,59.25,55.44
2000-05-09,56.5,56.25,57.75,53.0
2000-05-10,54.53,53.31,55.38,49.0
2000-05-11,53.94,54.88,55.75,50.94
2000-05-12,54.69,53.75,56.5,53.13
2000-05-15,53.63,56.06,56.5,50.88
2000-05-16,57.13,59.06,59.88,56.0
2000-05-17,57.19,61.0,62.38,57.0
2000-05-18,60.38,55.38,60.88,55.13
2000-05-19,54.63,52.63,55.75,52.25
2000-05-22,53.0,51.88,53.13,46.88
2000-05-23,50.5,46.69,51.88,46.5
2000-05-24,46.44,48.56,49.75,40.44
2000-05-25,49.5,45.5,50.0,45.5
2000-05-26,46.25,46.5,47.75,44.0
2000-05-30,47.31,51.75,51.88,47.31
2000-05-31,50.75,49.94,52.25,49.63
2000-06-01,48.88,50.19,51.13,46.38
2000-06-02,52.38,57.88,58.13,52.25
2000-06-05,55.03,54.5,56.25,52.5
2000-06-06,54.0,50.56,54.56,50.25
2000-06-07,51.88,51.81,52.19,50.13
2000-06-08,52.56,51.88,53.44,51.63
2000-06-09,51.94,52.19,53.25,51.88
2000-06-12,52.19,48.44,52.19,47.0
2000-06-13,48.19,49.0,49.5,46.25
2000-06-14,49.31,46.44,49.88,46.0
2000-06-15,47.0,46.31,47.94,45.31
2000-06-16,47.25,46.0,47.44,45.38
2000-06-19,45.5,45.31,45.88,43.5
2000-06-20,45.88,46.13,48.63,45.13
2000-06-21,45.44,46.06,46.94,45.06
2000-06-22,46.19,42.0,46.44,41.63
2000-06-23,36.63,33.88,37.0,32.47
2000-06-26,35.31,33.94,35.33,32.81
2000-06-27,33.75,36.5,38.5,33.5
2000-06-28,36.88,37.88,39.94,36.13
2000-06-29,37.13,37.13,38.5,36.13
2000-06-30,37.0,36.31,37.25,35.5
2000-07-03,36.69,37.0,37.5,36.5
2000-07-05,37.0,36.5,38.5,36.38
2000-07-06,36.88,36.06,37.38,34.75
2000-07-07,36.13,36.13,37.0,35.25
2000-07-10,36.38,35.06,36.38,35.0
2000-07-11,35.19,33.13,35.25,32.63
2000-07-12,35.44,35.06,36.13,34.25
2000-07-13,35.63,35.0,36.0,34.88
2000-07-14,36.38,42.63,43.2,36.31
2000-07-17,42.88,41.13,43.94,40.25
2000-07-18,40.13,41.75,43.63,39.5
2000-07-19,41.5,40.88,41.56,39.0
2000-07-20,40.94,40.31,43.38,39.5
2000-07-21,40.44,41.13,42.5,40.44
2000-07-24,41.06,38.75,41.38,38.06
2000-07-25,36.75,37.63,38.75,33.25
2000-07-26,35.06,36.06,36.72,34.06
2000-07-27,31.44,31.38,32.0,29.75
2000-07-28,31.44,30.0,32.13,29.0
2000-07-31,30.06,30.13,30.25,27.88
2000-08-01,30.63,30.25,32.25,30.25
2000-08-02,30.25,30.81,32.0,30.22
2000-08-03,29.44,31.5,31.75,29.31
2000-08-04,31.94,32.5,34.19,31.5
2000-08-07,32.0,33.81,34.25,31.63
2000-08-08,33.25,32.94,33.38,32.44
2000-08-09,32.38,30.88,32.38,30.38
2000-08-10,31.5,30.44,31.75,29.75
2000-08-11,30.5,33.69,34.0,30.31
2000-08-14,33.5,34.88,35.19,32.69
2000-08-15,34.63,37.56,38.31,34.38
2000-08-16,37.56,38.75,39.88,37.56
2000-08-17,38.0,38.25,39.06,36.88
2000-08-18,39.25,39.0,40.13,38.94
2000-08-21,39.09,37.5,39.88,36.5
2000-08-22,38.13,36.5,38.19,36.06
2000-08-23,36.38,38.81,39.5,35.0
2000-08-24,39.56,39.38,40.5,38.81
2000-08-25,39.13,39.94,40.06,38.56
2000-08-28,38.81,39.13,42.5,38.56
2000-08-29,39.5,39.63,40.88,38.88
2000-08-30,42.38,42.94,43.97,42.0
2000-08-31,43.13,41.5,43.19,41.44
2000-09-01,42.13,41.5,42.5,41.0
2000-09-05,40.94,45.69,46.31,40.25
2000-09-06,47.25,45.88,49.63,45.69
2000-09-07,46.81,43.5,47.0,43.0
2000-09-08,44.06,42.94,45.0,42.5
2000-09-11,42.63,42.38,45.22,42.19
2000-09-12,43.38,42.69,44.19,42.25
2000-09-13,41.31,42.44,43.13,41.0
2000-09-14,44.19,44.88,46.0,43.75
2000-09-15,45.38,43.63,45.44,42.88
2000-09-18,43.5,42.81,44.63,41.88
2000-09-19,42.06,40.75,42.75,39.13
2000-09-20,40.44,37.5,40.5,37.38
2000-09-21,37.44,40.06,40.5,37.25
2000-09-22,38.38,41.44,42.13,38.31
2000-09-25,41.22,40.38,42.56,40.0
2000-09-26,40.63,39.75,41.13,39.56
2000-09-27,38.69,37.88,39.63,35.5
2000-09-28,37.31,40.0,40.25,37.13
2000-09-29,39.0,38.44,41.25,37.63
2000-10-02,38.19,35.88,38.44,35.25
2000-10-03,36.75,35.06,37.25,35.0
2000-10-04,33.44,36.0,37.06,32.5
2000-10-05,35.19,33.56,36.63,32.0
2000-10-06,32.5,31.56,33.25,30.19
2000-10-09,30.25,30.06,30.56,27.38
2000-10-10,29.75,30.44,32.72,28.88
2000-10-11,27.94,27.81,30.25,27.63
2000-10-12,28.38,25.13,28.81,24.63
2000-10-13,24.25,28.44,28.88,23.5
2000-10-16,28.13,24.31,28.31,24.13
2000-10-17,24.88,21.94,25.19,20.88
2000-10-18,19.88,25.13,25.38,19.38
2000-10-19,26.56,27.75,28.13,24.19
2000-10-20,27.69,30.81,31.25,27.13
2000-10-23,29.69,30.0,30.38,27.63
2000-10-24,29.88,29.56,33.88,28.81
2000-10-25,34.0,31.88,36.5,31.75
2000-10-26,32.19,36.88,37.5,31.0
2000-10-27,33.94,35.63,37.5,33.88
2000-10-30,33.06,32.88,34.38,30.27
2000-10-31,32.69,36.63,36.88,32.06
2000-11-01,35.81,37.38,40.0,35.69
2000-11-02,38.06,39.75,39.88,37.5
2000-11-03,39.0,37.56,40.88,36.88
2000-11-06,38.56,36.56,38.63,34.75
2000-11-07,36.5,36.94,39.44,35.56
2000-11-08,36.0,33.88,37.0,33.25
2000-11-09,32.69,31.25,33.0,29.88
2000-11-10,30.75,30.06,31.88,30.0
2000-11-13,28.81,27.81,30.11,27.44
2000-11-14,28.75,28.94,29.88,25.75
2000-11-15,28.63,29.5,30.81,28.44
2000-11-16,28.69,27.81,30.5,27.75
2000-11-17,28.0,27.44,29.63,26.88
2000-11-20,26.0,25.81,27.94,25.0
2000-11-21,26.63,24.25,26.88,23.63
2000-11-22,23.88,25.19,27.5,22.13
2000-11-24,26.42,28.94,29.13,26.06
2000-11-27,29.75,28.0,30.75,27.0
2000-11-28,26.0,25.03,26.19,24.63
2000-11-29,25.13,26.94,27.5,24.25
2000-11-30,24.75,24.69,26.19,22.88
2000-12-01,24.94,24.63,26.75,23.0
2000-12-04,25.19,26.56,27.19,23.25
2000-12-05,27.13,25.38,27.63,24.75
2000-12-06,24.69,23.63,26.0,23.63
2000-12-07,23.06,21.38,23.44,20.13
2000-12-08,23.31,23.44,24.69,21.25
2000-12-11,22.88,25.31,26.13,21.75
2000-12-12,24.5,25.88,27.5,24.31
2000-12-13,26.56,23.75,26.63,23.5
2000-12-14,24.06,22.69,24.69,22.59
2000-12-15,22.25,22.88,24.25,22.0
2000-12-18,20.75,19.88,21.19,18.94
2000-12-19,20.31,18.25,20.88,17.38
2000-12-20,16.19,16.69,17.88,15.63
2000-12-21,16.38,15.19,17.75,14.88
2000-12-22,15.31,15.56,16.55,15.25
2000-12-26,16.31,16.94,18.5,16.25
2000-12-27,16.0,16.88,17.44,15.56
2000-12-28,16.63,17.38,18.25,16.63
2000-12-29,16.75,15.56,17.13,15.0
2001-01-02,15.81,13.88,16.0,13.63
2001-01-03,13.63,17.56,17.88,13.56
2001-01-04,17.0,15.5,17.56,15.44
2001-01-05,15.5,14.56,15.88,13.56
2001-01-08,14.44,14.94,15.56,13.75
2001-01-09,14.56,16.38,16.63,14.56
2001-01-10,15.84,16.5,17.0,15.56
2001-01-11,15.75,17.0,17.31,15.63
2001-01-12,17.34,17.69,18.5,17.13
2001-01-16,18.31,18.06,18.38,17.25
2001-01-17,18.88,18.38,19.56,17.75
2001-01-18,18.38,19.5,19.5,17.94
2001-01-19,20.38,19.94,20.38,18.69
2001-01-22,19.5,18.5,19.94,18.5
2001-01-23,18.38,18.95,19.31,18.25
2001-01-24,19.19,21.88,22.38,19.0
2001-01-25,21.69,19.0,21.75,19.0
2001-01-26,18.94,19.5,20.5,18.88
2001-01-29,19.13,20.13,20.75,18.81
2001-01-30,20.56,18.94,20.69,18.67
2001-01-31,18.94,17.31,19.56,17.06
2001-02-01,17.19,16.25,17.19,15.75
2001-02-02,16.13,14.38,16.19,14.25
2001-02-05,14.63,14.44,14.94,14.31
2001-02-06,13.81,15.81,15.88,13.56
2001-02-07,15.19,15.0,15.81,14.56
2001-02-08,15.31,14.38,15.88,14.38
2001-02-09,14.31,13.38,14.75,13.38
