date,open,close,high,low
1999-11-01,19.25,18.81,19.25,18.75
1999-11-02,18.81,18.75,18.81,18.62
1999-11-03,18.81,18.81,18.88,18.75
1999-11-04,19.0,19.06,19.12,19.0
1999-11-05,19.06,19.38,19.38,19.0
1999-11-08,19.25,19.19,19.44,19.12
1999-11-09,19.44,19.25,19.56,19.19
1999-11-10,19.25,19.0,19.25,19.0
1999-11-11,19.12,19.0,19.25,19.0
1999-11-12,19.0,18.88,19.12,18.88
1999-11-15,18.69,18.62,18.81,18.62
1999-11-16,18.62,18.38,18.69,18.38
1999-11-17,18.38,18.06,18.38,18.06
1999-11-18,18.06,18.06,18.06,17.25
1999-11-19,17.88,18.88,18.88,17.88
1999-11-22,18.94,19.38,19.38,18.88
1999-11-23,19.38,18.25,19.38,18.25
1999-11-24,18.38,17.88,18.38,17.06
1999-11-26,18.0,18.19,18.31,18.0
1999-11-29,18.06,17.81,18.06,17.56
1999-11-30,17.75,17.5,17.75,17.12
1999-12-01,17.88,17.0,17.88,16.62
1999-12-02,17.19,17.12,17.38,17.12
1999-12-03,17.25,18.75,18.75,17.25
1999-12-06,19.62,19.12,19.94,18.75
1999-12-07,18.88,19.25,19.25,18.81
1999-12-08,19.31,20.12,20.25,19.31
1999-12-09,20.12,20.25,20.38,19.75
1999-12-10,20.5,22.0,22.25,20.25
1999-12-13,21.75,22.62,22.62,21.75
1999-12-14,22.75,23.0,23.06,22.62
1999-12-15,23.25,23.31,23.62,23.0
1999-12-16,23.56,23.0,23.56,23.0
1999-12-17,23.0,22.56,23.0,22.5
1999-12-20,22.0,21.56,22.06,21.56
1999-12-21,21.44,20.0,21.44,20.0
1999-12-22,19.75,18.88,19.75,18.38
1999-12-23,18.88,19.0,19.44,18.88
1999-12-27,19.06,19.0,19.06,19.0
1999-12-28,18.88,18.62,18.88,18.62
1999-12-29,18.5,17.88,18.5,17.88
1999-12-30,17.88,17.88,18.12,17.88
1999-12-31,18.12,18.12,18.12,18.12
2000-01-03,18.0,17.88,18.25,17.75
2000-01-04,17.75,17.88,18.0,17.62
2000-01-05,18.0,19.0,19.25,17.88
2000-01-06,19.5,19.94,19.94,19.25
2000-01-07,19.81,20.12,20.12,19.81
2000-01-10,20.12,20.06,20.38,20.0
2000-01-11,20.06,20.0,20.19,19.94
2000-01-12,19.88,19.94,19.94,19.69
2000-01-13,20.06,20.75,20.75,20.06
2000-01-14,20.94,21.25,21.5,20.94
2000-01-18,21.25,22.0,22.0,21.25
2000-01-19,22.0,22.5,22.5,22.0
2000-01-20,22.5,23.19,23.38,22.5
2000-01-21,23.06,23.12,23.25,22.94
2000-01-24,22.88,23.0,23.0,22.5
2000-01-25,23.25,24.56,24.88,23.25
2000-01-26,24.5,24.88,24.94,23.75
2000-01-27,25.0,24.81,25.0,24.81
2000-01-28,24.88,25.38,25.38,24.88
2000-01-31,25.38,26.38,27.0,25.25
2000-02-01,26.38,26.0,26.88,26.0
2000-02-02,26.25,27.0,27.0,26.25
2000-02-03,30.0,29.0,30.25,28.88
2000-02-04,29.19,28.06,29.19,28.06
2000-02-07,28.44,28.0,28.62,28.0
2000-02-08,28.12,28.12,28.25,27.88
2000-02-09,29.62,32.25,32.75,29.62
2000-02-10,32.75,34.88,35.31,32.75
2000-02-11,35.0,35.25,35.75,35.0
2000-02-14,35.5,34.81,36.0,34.19
2000-02-15,34.81,32.5,34.81,32.0
2000-02-16,32.19,30.75,32.19,29.81
2000-02-17,31.0,30.94,31.94,30.88
2000-02-18,31.12,31.56,31.94,31.12
2000-02-22,31.81,30.56,31.81,29.5
2000-02-23,30.5,31.12,31.31,30.06
2000-02-24,30.88,31.5,31.5,30.25
2000-02-25,31.38,31.75,31.75,31.12
2000-02-28,31.5,31.94,31.94,31.0
2000-02-29,32.0,31.62,32.19,31.5
2000-03-01,31.56,31.5,31.69,31.0
2000-03-02,31.75,31.0,31.75,31.0
2000-03-03,31.12,32.25,32.25,31.12
2000-03-06,32.12,33.12,33.12,31.94
2000-03-07,33.5,33.31,34.25,33.25
2000-03-08,33.31,32.44,33.44,32.44
2000-03-09,32.56,32.62,32.62,32.12
2000-03-10,32.88,31.81,32.88,31.81
2000-03-13,32.0,31.5,32.0,31.5
2000-03-14,31.62,29.31,31.62,29.31
2000-03-15,29.5,30.0,30.25,29.5
2000-03-16,30.25,30.25,30.88,30.06
2000-03-17,30.5,30.75,30.81,30.5
2000-03-20,31.0,31.19,31.38,31.0
2000-03-21,31.06,31.25,31.56,30.56
2000-03-22,31.0,32.5,32.5,30.75
2000-03-23,32.5,32.5,33.12,32.5
2000-03-24,32.62,33.5,33.5,32.62
2000-03-27,33.75,34.25,35.75,33.75
2000-03-28,34.5,33.81,34.5,33.62
2000-03-29,34.0,33.0,34.0,32.88
2000-03-30,33.0,32.62,33.25,32.5
2000-03-31,32.62,32.62,33.25,32.62
2000-04-03,33.25,33.19,34.0,32.62
2000-04-04,33.06,32.38,33.31,32.0
2000-04-05,32.38,31.06,32.62,31.0
2000-04-06,31.0,30.81,31.25,30.62
2000-04-07,30.88,30.25,30.88,30.0
2000-04-10,30.75,31.31,31.56,30.62
2000-04-11,31.06,31.94,32.06,31.0
2000-04-12,32.38,33.0,34.25,32.19
2000-04-13,33.25,33.25,33.5,33.12
2000-04-14,33.25,32.81,33.25,32.75
2000-04-17,32.75,33.0,33.44,32.69
2000-04-18,33.19,33.06,33.38,33.06
2000-04-19,33.12,33.25,33.5,32.94
2000-04-20,33.5,37.0,37.0,33.5
2000-04-24,37.0,36.44,37.75,36.0
2000-04-25,36.56,36.12,36.75,35.75
2000-04-26,36.12,34.06,36.12,32.75
2000-04-27,33.75,33.75,34.62,33.5
2000-04-28,34.0,34.31,34.5,33.88
2000-05-01,34.25,34.0,34.25,34.0
2000-05-02,33.75,33.44,33.75,32.0
2000-05-03,33.38,33.75,33.75,33.19
2000-05-04,33.5,33.88,34.0,33.0
2000-05-05,33.88,33.44,33.88,33.38
2000-05-08,33.5,33.0,33.5,32.94
2000-05-09,33.0,33.0,33.0,32.5
2000-05-10,33.0,32.81,33.25,32.25
2000-05-11,33.06,34.25,34.38,33.06
2000-05-12,34.38,36.0,36.31,34.38
2000-05-15,36.06,36.69,36.75,36.06
2000-05-16,36.5,36.56,36.62,36.31
2000-05-17,36.69,36.5,36.75,36.38
2000-05-18,36.62,36.0,36.62,35.56
2000-05-19,35.81,34.12,35.81,34.0
2000-05-22,34.31,33.5,34.31,33.12
2000-05-23,33.69,33.25,34.25,33.0
2000-05-24,33.38,33.31,33.5,33.25
2000-05-25,33.31,32.06,33.31,31.81
2000-05-26,32.0,32.5,32.5,32.0
2000-05-30,32.25,32.69,32.69,32.25
2000-05-31,32.69,33.0,33.25,32.69
2000-06-01,33.12,32.75,33.38,32.75
2000-06-02,32.94,33.0,33.19,32.75
2000-06-05,33.25,33.62,33.69,33.25
2000-06-06,33.5,33.94,33.94,33.5
2000-06-07,34.0,34.12,34.25,34.0
2000-06-08,34.06,35.12,35.25,34.0
2000-06-09,35.12,34.75,35.75,34.5
2000-06-12,35.0,35.62,35.62,35.0
2000-06-13,35.88,36.0,36.25,35.88
2000-06-14,36.25,38.88,39.0,36.06
2000-06-15,38.94,38.25,38.94,37.75
2000-06-16,38.25,37.5,38.25,37.31
2000-06-19,37.31,37.06,37.38,37.0
2000-06-20,37.0,37.25,37.25,36.75
2000-06-21,37.5,37.38,37.75,37.31
2000-06-22,37.19,37.44,37.44,37.0
2000-06-23,37.19,36.12,37.19,36.12
2000-06-26,36.0,35.0,36.0,34.0
2000-06-27,34.06,34.88,34.88,34.06
2000-06-28,34.81,35.0,35.0,34.75
2000-06-29,35.0,35.75,35.75,34.94
2000-06-30,35.62,36.75,36.75,35.62
2000-07-03,36.62,36.81,36.88,36.62
2000-07-05,36.88,36.81,36.88,36.31
2000-07-06,36.69,36.12,36.81,35.62
2000-07-07,36.25,36.19,36.5,36.19
2000-07-10,36.31,36.56,36.56,36.12
2000-07-11,36.75,37.25,37.31,36.56
2000-07-12,37.5,38.38,38.69,37.5
2000-07-13,38.38,39.75,39.88,37.75
2000-07-14,40.0,40.56,41.0,40.0
2000-07-17,40.38,38.75,41.25,38.75
2000-07-18,39.0,38.88,39.62,38.75
2000-07-19,39.0,38.75,39.75,38.75
2000-07-20,38.5,37.38,38.5,37.38
2000-07-21,37.25,38.12,38.12,37.0
2000-07-24,38.38,38.75,38.88,37.88
2000-07-25,38.25,38.5,39.25,38.25
2000-07-26,38.38,38.44,38.62,38.31
2000-07-27,38.44,37.94,38.44,37.38
2000-07-28,37.69,37.25,37.75,37.25
2000-07-31,37.5,37.12,37.94,37.0
2000-08-01,37.38,37.56,37.94,37.38
2000-08-02,37.69,36.94,37.69,36.88
2000-08-03,37.0,36.62,37.0,36.62
2000-08-04,36.81,37.12,37.31,36.81
2000-08-07,37.12,36.94,37.12,36.62
2000-08-08,37.0,37.44,37.44,37.0
2000-08-09,37.44,36.75,37.44,36.5
2000-08-10,36.56,37.44,37.69,36.56
2000-08-11,38.0,40.62,40.94,37.62
2000-08-14,40.62,39.0,40.75,39.0
2000-08-15,39.0,37.88,39.0,37.88
2000-08-16,38.12,38.56,38.69,38.12
2000-08-17,38.75,39.0,39.06,38.38
2000-08-18,39.06,39.25,39.25,38.56
2000-08-21,39.5,40.69,40.75,39.5
2000-08-22,40.69,42.25,42.38,40.62
2000-08-23,42.5,42.62,43.62,42.5
2000-08-24,42.44,43.69,43.81,42.31
2000-08-25,43.94,43.75,43.94,43.44
2000-08-28,43.5,44.12,44.12,42.88
2000-08-29,44.19,44.25,44.81,44.0
2000-08-30,44.31,43.94,44.31,43.75
2000-08-31,43.94,42.94,43.94,42.94
2000-09-01,43.0,42.38,43.0,42.38
2000-09-05,42.44,42.06,42.62,42.06
2000-09-06,41.75,41.5,42.38,41.25
2000-09-07,41.25,39.56,41.25,39.25
2000-09-08,39.69,39.31,39.94,39.12
2000-09-11,39.44,38.25,39.56,37.62
2000-09-12,38.0,39.88,40.56,38.0
2000-09-13,40.0,40.12,41.94,40.0
2000-09-14,40.19,40.38,40.69,40.19
2000-09-15,40.62,41.5,41.5,40.62
2000-09-18,41.75,41.62,41.75,41.5
2000-09-19,41.38,40.88,41.38,40.75
2000-09-20,40.94,40.81,41.62,40.69
2000-09-21,40.62,39.25,40.62,38.88
2000-09-22,39.0,38.0,39.0,37.75
2000-09-25,38.0,38.94,38.94,38.0
2000-09-26,38.69,35.75,38.94,35.06
2000-09-27,35.75,35.19,36.0,35.19
2000-09-28,35.0,33.56,35.0,32.88
2000-09-29,33.81,33.38,34.25,32.5
2000-10-02,33.88,33.0,34.25,32.62
2000-10-03,32.94,32.62,33.38,32.62
2000-10-04,32.62,31.5,32.88,31.31
2000-10-05,31.56,31.44,31.94,31.25
2000-10-06,31.5,31.62,31.88,31.12
2000-10-09,31.5,31.5,31.75,31.12
2000-10-10,31.75,31.25,31.75,31.06
2000-10-11,31.25,31.5,32.0,31.25
2000-10-12,31.88,31.38,31.88,31.38
2000-10-13,31.5,31.69,31.75,31.38
