date,open,close,high,low
2014-03-27,568.0,558.46,568.0,552.92
2014-03-28,561.2,559.99,566.43,558.67
2014-03-31,566.89,556.97,567.0,556.93
2014-04-01,558.71,567.16,568.45,558.71
2014-04-02,565.106,567.0,604.83,562.19
2014-04-03,569.85,569.74,587.28,564.13
2014-04-04,574.65,543.14,577.77,543.0
2014-04-07,540.74,538.15,548.48,527.15
2014-04-08,542.6,554.9,555.0,541.61
2014-04-09,559.62,564.14,565.37,552.95
2014-04-10,565.0,540.95,565.0,539.9
2014-04-11,532.55,530.6,540.0,526.53
2014-04-14,538.25,532.52,544.1,529.561
2014-04-15,536.82,536.44,538.45,518.4601
2014-04-16,543.0,556.54,557.0,540.0
2014-04-17,548.81,536.1,549.5,531.15
2014-04-21,536.1,528.62,536.7,525.6
2014-04-22,528.64,534.81,537.23,527.51
2014-04-23,533.79,526.94,533.87,526.25
2014-04-24,530.07,525.16,531.65,522.12
2014-04-25,522.51,516.18,524.7,515.42
2014-04-28,517.18,517.15,518.6,502.8
2014-04-29,516.9,527.7,529.46,516.32
2014-04-30,527.6,526.66,528.0,522.52
2014-05-01,527.11,531.35,532.93,523.88
2014-05-02,533.76,527.93,533.9999,525.61
2014-05-05,524.82,527.81,528.9,521.32
2014-05-06,525.23,515.14,526.81,515.06
2014-05-07,515.79,509.96,516.68,503.3
2014-05-08,508.46,511.0,517.23,506.45
2014-05-09,510.75,518.73,519.9,504.2
2014-05-12,523.51,529.92,530.19,519.01
2014-05-13,530.89,533.09,536.07,529.51
2014-05-14,533.0,526.65,533.0,525.29
2014-05-15,525.7,519.98,525.87,517.42
2014-05-16,521.39,520.63,521.8,515.44
2014-05-19,519.7,528.86,529.78,517.583
2014-05-20,529.74,529.77,536.23,526.3
2014-05-21,532.9,538.94,539.1828,531.91
2014-05-22,541.13,545.06,547.5999,540.78
2014-05-23,547.26,552.7,553.64,543.7
2014-05-27,556.0,565.95,566.0,554.35
2014-05-28,564.57,561.68,567.84,561.0
2014-05-29,563.35,560.08,564.0,558.71
2014-05-30,560.8,559.89,561.35,555.91
2014-06-02,560.7,553.93,560.9,545.73
2014-06-03,550.99,544.94,552.34,542.55
2014-06-04,541.5,544.66,548.61,538.75
2014-06-05,546.4,553.9,554.95,544.45
2014-06-06,558.06,556.33,558.06,548.93
2014-06-09,557.15,562.12,562.9,556.04
2014-06-10,560.51,560.55,563.6,557.9
2014-06-11,558.0,558.84,559.88,555.0201
