date,open,close,high,low
2018-10-01,165.58,168.87,169.1,165.29
2018-10-02,166.26,169.03,169.26,165.43
2018-10-03,169.75,167.57,169.75,167.18
2018-10-04,166.82,165.83,167.0,163.38
2018-10-05,164.15,164.24,165.74,163.65
2018-10-08,163.49,164.31,164.91,162.87
2018-10-09,162.9,161.18,163.74,161.0
2018-10-10,161.21,158.01,161.6,157.94
2018-10-11,157.93,154.26,158.21,153.77
2018-10-12,156.82,156.24,157.78,155.33
2018-10-15,156.61,156.79,159.29,155.99
2018-10-16,157.72,160.67,160.84,157.22
2018-10-17,161.7,159.79,162.25,159.09
2018-10-18,167.08,161.36,167.52,159.48
2018-10-19,161.46,159.85,163.06,159.29
2018-10-22,165.23,166.88,168.95,160.52
2018-10-23,164.84,164.17,165.94,161.6
2018-10-24,161.74,161.23,164.0,160.78
2018-10-25,162.76,165.0,166.36,162.43
2018-10-26,163.71,164.94,167.11,163.44
2018-10-29,166.22,165.49,169.16,164.59
2018-10-30,166.11,164.5,167.67,162.74
2018-10-31,161.74,165.47,165.6,161.31
2018-11-01,164.66,162.0,165.48,161.94
2018-11-02,160.66,159.84,161.81,155.44
2018-11-05,157.65,161.99,162.19,157.45
2018-11-06,161.83,165.53,166.35,161.67
2018-11-07,164.54,166.85,166.85,164.23
2018-11-08,164.5,165.3,166.15,162.93
2018-11-09,162.99,161.52,163.94,160.55
2018-11-12,160.06,159.22,162.3,158.91
2018-11-13,160.22,156.93,160.33,156.53
2018-11-14,158.19,153.36,158.24,153.0
2018-11-15,156.09,155.18,156.3,152.56
2018-11-16,153.74,158.08,158.46,153.4
2018-11-19,158.61,159.5,161.45,158.44
2018-11-20,157.49,157.87,160.19,157.24
2018-11-21,159.24,159.06,161.24,158.55
2018-11-23,156.86,156.19,158.01,156.02
2018-11-26,157.04,157.32,158.22,156.88
2018-11-27,155.66,152.55,156.65,151.52
2018-11-28,153.53,156.29,156.48,151.7
2018-11-29,155.51,159.31,159.84,155.35
2018-11-30,157.02,159.05,160.61,156.94
2018-12-03,162.3,164.35,164.42,159.92
2018-12-04,163.95,160.83,164.29,160.45
2018-12-06,158.53,155.98,159.02,153.0
2018-12-07,156.22,152.72,158.52,152.36
2018-12-10,156.03,156.91,157.54,154.11
2018-12-11,161.16,157.46,162.46,156.65
2018-12-12,161.65,160.55,162.14,159.46
2018-12-13,160.4,158.09,161.3,157.3
2018-12-14,157.38,156.93,158.47,156.05
2018-12-17,157.19,157.33,159.44,155.59
2018-12-18,158.42,157.61,158.89,156.63
2018-12-19,157.4,155.83,158.5,155.21
2018-12-20,154.48,154.05,156.4,152.44
2018-12-21,156.01,153.11,157.48,153.03
2018-12-24,152.7,148.13,153.41,148.13
2018-12-26,148.75,152.74,152.77,145.95
2018-12-27,152.05,156.41,156.41,150.6
2018-12-28,157.1,156.31,158.56,155.04
2018-12-31,156.23,156.04,157.0,153.94
2019-01-02,153.53,157.2,158.16,153.52
2019-01-03,154.06,152.29,154.35,151.93
2019-01-04,153.83,156.63,157.62,153.36
2019-01-07,155.78,156.49,158.04,155.15
2019-01-08,156.09,158.15,158.56,155.2
2019-01-09,156.73,158.46,159.53,156.33
2019-01-10,158.7,161.85,161.98,158.35
2019-01-11,160.56,160.21,160.76,159.37
2019-01-14,158.37,158.02,159.5,157.7
2019-01-15,156.84,157.23,157.87,156.54
2019-01-16,157.53,157.24,158.42,157.08
2019-01-17,156.4,157.26,157.65,156.21
2019-01-18,158.76,160.79,161.45,158.01
2019-01-22,161.61,160.84,161.78,159.69
2019-01-23,160.57,158.93,161.09,157.46
2019-01-24,157.61,157.37,157.91,156.43
2019-01-25,158.69,158.84,160.11,158.64
2019-01-28,157.78,158.21,158.39,156.88
2019-01-29,159.57,161.22,162.0,159.35
2019-01-30,161.79,162.92,163.75,161.16
2019-01-31,161.18,163.01,163.42,159.63
2019-02-01,163.91,165.76,165.9,163.46
2019-02-04,165.48,163.5,165.69,163.22
2019-02-05,165.26,164.99,165.99,163.8
2019-02-06,163.95,163.42,164.62,163.04
2019-02-07,161.75,160.69,162.24,159.43
2019-02-08,160.07,161.22,161.61,159.08
2019-02-11,161.06,161.35,161.62,160.63
2019-02-12,164.13,167.53,167.55,163.89
2019-02-13,167.09,167.38,168.49,166.79
2019-02-14,166.65,166.5,167.6,165.93
2019-02-15,170.54,168.54,170.71,167.77
2019-02-19,168.0,167.86,168.78,167.56
2019-02-20,167.59,170.3,171.01,167.59
2019-02-21,170.98,171.4,172.3,170.54
2019-02-22,172.24,173.5,173.74,171.55
2019-02-25,173.89,174.62,175.01,173.39
2019-02-26,173.79,173.91,174.89,173.45
2019-02-27,173.4,174.5,175.12,172.63
2019-02-28,174.81,173.24,174.93,173.1
2019-03-01,176.36,168.38,176.73,167.86
2019-03-04,168.35,168.7,168.91,166.07
2019-03-05,168.35,168.44,169.94,168.35
2019-03-06,168.84,169.13,169.68,168.21
2019-03-07,169.36,167.47,169.36,166.82
2019-03-08,168.75,169.46,169.52,167.76
2019-03-11,169.48,171.28,171.31,169.42
2019-03-12,171.78,172.32,172.9,171.39
2019-03-13,174.01,174.39,175.51,173.64
2019-03-14,174.25,174.21,174.44,173.17
2019-03-15,176.28,176.43,176.96,174.43
2019-03-18,174.75,174.55,174.95,173.43
2019-03-19,175.35,173.58,175.79,172.62
2019-03-20,175.35,176.63,176.87,174.36
2019-03-21,174.34,175.1,175.83,173.7
2019-03-22,172.1,169.86,172.76,169.19
2019-03-25,170.97,170.0,171.92,169.56
2019-03-26,170.89,170.98,171.3,169.69
2019-03-27,169.46,169.48,170.05,168.69
2019-03-28,170.96,173.7,173.85,170.73
2019-03-29,175.35,175.93,176.1,173.88
2019-04-01,176.84,176.58,178.18,176.0
2019-04-02,177.33,178.02,178.18,176.69
2019-04-03,181.15,182.74,184.53,180.63
2019-04-04,183.57,183.9,184.04,182.42
2019-04-05,184.59,184.62,185.43,183.98
2019-04-08,185.9,184.84,185.92,184.15
2019-04-09,185.05,182.9,185.05,182.75
2019-04-10,183.39,181.02,183.59,179.82
2019-04-11,181.68,179.85,181.81,179.77
2019-04-12,180.8,180.35,181.13,180.14
2019-04-15,180.14,180.14,180.43,179.14
2019-04-16,180.08,180.62,180.68,178.8
2019-04-17,180.64,179.91,181.86,179.4
2019-04-18,180.12,180.4,180.79,179.67
2019-04-22,179.85,178.9,180.8,178.83
2019-04-23,178.65,179.33,179.72,178.55
2019-04-24,179.01,177.62,179.51,177.51
2019-04-25,176.22,176.28,176.75,174.92
2019-04-26,175.44,178.26,178.26,175.37
2019-04-29,176.79,177.1,178.26,176.49
2019-04-30,177.87,180.26,180.56,177.39
2019-05-01,179.89,178.29,181.2,178.01
2019-05-02,177.93,180.49,180.49,177.27
2019-05-03,179.68,180.96,181.47,179.24
2019-05-06,177.83,178.63,179.33,177.81
2019-05-07,176.58,174.57,176.87,172.91
2019-05-08,174.43,176.54,177.53,174.24
2019-05-09,173.2,173.35,174.71,171.6
2019-05-10,174.63,181.59,182.22,174.27
2019-05-13,179.74,180.68,181.01,177.82
2019-05-14,180.31,180.92,182.36,179.78
2019-05-15,178.57,180.86,182.37,178.32
2019-05-16,185.09,187.65,188.97,184.5
2019-05-17,188.19,189.0,189.45,186.89
2019-05-20,186.0,185.26,187.17,184.65
2019-05-21,186.76,187.27,187.44,186.15
2019-05-22,187.87,188.24,189.72,187.18
2019-05-23,185.89,185.08,187.04,184.47
2019-05-24,187.37,187.86,188.15,185.85
2019-05-28,186.94,184.31,187.78,183.73
2019-05-29,181.46,183.01,183.13,181.21
2019-05-30,182.92,183.41,184.21,182.77
2019-05-31,180.3,180.55,181.41,179.87
2019-06-03,181.47,187.28,187.41,181.2
2019-06-04,187.81,191.35,191.35,185.68
2019-06-05,191.35,192.75,192.8,190.49
2019-06-06,194.31,197.35,198.06,193.69
2019-06-07,200.15,200.05,201.11,197.63
2019-06-10,200.12,200.42,202.0,198.23
2019-06-11,201.2,200.79,201.82,199.72
2019-06-12,201.58,201.69,202.28,200.97
2019-06-13,203.48,202.74,203.89,201.64
2019-06-14,202.66,202.71,203.23,201.43
2019-06-17,202.93,201.26,203.61,201.04
2019-06-18,204.18,204.02,204.76,202.71
2019-06-19,202.24,200.59,202.47,199.14
2019-06-20,203.65,202.34,203.71,201.5
2019-06-21,202.64,202.13,202.99,202.03
2019-06-24,202.49,203.38,203.87,202.03
2019-06-25,204.32,202.8,204.32,202.71
2019-06-26,202.05,200.6,202.31,200.56
