date,open,close,high,low
2012-05-18,42.05,38.2318,45.0,38.0
2012-05-21,36.53,34.03,36.66,33.0
2012-05-22,32.61,31.0,33.59,30.94
2012-05-23,31.37,32.0,32.5,31.36
2012-05-24,32.95,33.03,33.21,31.77
2012-05-25,32.9,31.91,32.95,31.11
2012-05-29,31.48,28.84,31.69,28.65
2012-05-30,28.695,28.19,29.55,27.86
2012-05-31,28.545,29.6,29.67,26.83
2012-06-01,28.892,27.72,29.15,27.39
2012-06-04,27.2,26.9,27.65,26.44
2012-06-05,26.7,25.869,27.76,25.75
2012-06-06,26.07,26.81,27.17,25.52
2012-06-07,27.0,26.31,27.35,26.15
2012-06-08,26.55,27.1,27.76,26.44
2012-06-11,27.18,27.005,28.07,26.835
2012-06-12,27.48,27.4,27.77,26.96
2012-06-13,27.66,27.27,28.1,27.1
2012-06-14,27.65,28.29,28.32,27.38
2012-06-15,28.505,30.014,30.1,28.35
2012-06-18,29.955,31.41,32.08,29.41
2012-06-19,31.535,31.911,32.18,30.7
2012-06-20,31.92,31.6,31.9288,31.15
2012-06-21,31.67,31.84,32.5,31.51
2012-06-22,32.41,33.05,33.45,32.06
2012-06-25,32.86,32.06,33.02,31.55
2012-06-26,32.69,33.1,33.44,32.5
2012-06-27,32.46,32.23,32.9,31.9
2012-06-28,31.96,31.36,32.19,30.9
2012-06-29,31.92,31.095,31.99,30.76
2012-07-02,31.25,30.771,31.73,30.55
2012-07-03,30.91,31.2,31.44,30.8
2012-07-05,31.32,31.47,31.625,31.02
2012-07-06,31.44,31.73,31.9,31.26
2012-07-09,32.1,32.17,32.88,31.99
2012-07-10,32.43,31.47,32.48,31.1599
2012-07-11,31.48,30.97,31.56,30.55
2012-07-12,30.7,30.81,31.4,30.6
2012-07-13,31.04,30.72,31.07,30.56
2012-07-16,30.5,28.245,30.5,28.21
2012-07-17,28.48,28.09,28.59,27.15
2012-07-18,28.31,29.11,29.29,28.15
2012-07-19,29.41,29.0,29.5,28.63
2012-07-20,29.0,28.76,29.47,28.72
2012-07-23,28.12,28.75,29.0,28.01
2012-07-24,28.82,28.45,29.45,28.1
2012-07-25,28.39,29.34,29.49,28.08
2012-07-26,27.75,26.845,28.23,26.73
2012-07-27,23.19,23.705,24.54,22.28
2012-07-30,23.995,23.15,24.04,23.03
2012-07-31,23.37,21.71,23.37,21.61
2012-08-01,21.5,20.88,21.58,20.84
2012-08-02,20.77,20.04,20.84,19.82
2012-08-03,20.36,21.09,22.16,19.9
2012-08-06,21.39,21.92,22.15,21.3
2012-08-07,22.2,20.72,22.45,20.5
2012-08-08,20.71,20.72,21.15,20.22
2012-08-09,20.75,21.01,21.17,20.61
2012-08-10,21.41,21.807,21.82,21.13
2012-08-13,22.15,21.6,22.45,21.4
2012-08-14,21.41,20.38,21.6,20.25
2012-08-15,20.64,21.2,21.41,20.4
2012-08-16,20.44,19.87,20.48,19.69
2012-08-17,20.005,19.05,20.08,19.0
2012-08-20,19.05,20.011,20.13,18.75
2012-08-21,19.58,19.159,19.98,19.09
2012-08-22,19.36,19.439,19.53,18.96
2012-08-23,19.5,19.44,19.73,19.36
2012-08-24,19.52,19.409,19.68,19.25
2012-08-27,19.49,19.15,19.53,19.1
2012-08-28,19.1,19.34,19.38,18.95
2012-08-29,19.32,19.1,19.38,19.07
2012-08-30,19.27,19.0885,19.45,19.06
2012-08-31,18.68,18.058,18.7,18.03
2012-09-04,18.08,17.729,18.27,17.55
2012-09-05,18.27,18.58,18.75,18.18
2012-09-06,18.74,18.96,19.2617,18.72
2012-09-07,19.1,18.98,19.42,18.78
2012-09-10,19.06,18.81,19.2,18.55
2012-09-11,18.92,19.43,19.581,18.85
2012-09-12,20.76,20.931,21.16,20.28
2012-09-13,20.955,20.713,21.48,20.61
2012-09-14,21.13,22.0,22.08,20.9
2012-09-17,22.67,21.52,22.75,21.5
2012-09-18,21.6,21.87,21.98,21.37
2012-09-19,21.99,23.29,23.37,21.77
2012-09-20,23.02,22.59,23.24,22.54
2012-09-21,22.97,22.86,23.24,22.6
2012-09-24,21.78,20.79,21.98,20.3625
2012-09-25,21.2,20.28,21.21,20.22
2012-09-26,20.145,20.62,20.78,19.8
2012-09-27,20.99,20.32,21.0,20.16
2012-09-28,20.57,21.66,21.95,20.5
2012-10-01,22.08,21.99,22.59,21.73
2012-10-02,22.08,22.27,22.49,21.82
2012-10-03,22.295,21.83,22.49,21.8
2012-10-04,22.32,21.9475,22.4,21.41
2012-10-05,21.49,20.91,21.63,20.88
2012-10-08,20.4,20.4,20.75,20.155
2012-10-09,20.39,20.227,20.55,19.97
2012-10-10,19.93,19.64,19.94,19.45
2012-10-11,19.88,19.75,19.96,19.61
2012-10-12,19.75,19.5181,19.8,19.48
2012-10-15,19.68,19.52,19.88,19.49
2012-10-16,19.68,19.48,19.69,19.3
2012-10-17,19.5,19.88,20.48,19.3718
2012-10-18,19.7,18.975,19.79,18.89
2012-10-19,19.0,19.0,19.06,18.8
2012-10-22,19.25,19.321,19.43,19.05
2012-10-23,19.25,19.5,19.8,19.1
2012-10-24,24.13,23.2299,24.25,22.85
2012-10-25,23.29,22.56,23.31,22.47
2012-10-26,22.4,21.9425,22.88,21.88
2012-10-31,20.82,21.11,21.5,20.73
2012-11-01,21.08,21.21,21.44,21.01
2012-11-02,21.26,21.18,21.69,21.07
2012-11-05,21.1,21.25,21.48,20.92
2012-11-06,21.24,21.1712,21.37,20.99
2012-11-07,20.85,20.47,20.95,20.37
2012-11-08,20.52,19.99,20.73,19.98
2012-11-09,19.955,19.21,20.0,19.13
2012-11-12,19.15,20.07,20.17,18.87
2012-11-13,19.605,19.86,20.11,19.56
2012-11-14,20.1,22.36,22.5,19.93
2012-11-15,22.34,22.17,22.5,21.65
2012-11-16,22.25,23.5607,23.93,22.18
2012-11-19,23.955,22.92,24.12,22.82
2012-11-20,22.73,23.1,23.9,22.7
2012-11-21,23.22,24.32,24.53,23.05
2012-11-23,24.58,23.998,24.68,23.88
2012-11-26,24.935,25.94,26.09,24.81
2012-11-27,26.04,26.15,26.5,25.46
2012-11-28,25.94,26.36,26.49,25.75
2012-11-29,26.5,27.32,27.52,26.16
2012-11-30,27.26,28.0,28.0,26.76
2012-12-03,27.9999,27.04,28.88,26.98
2012-12-04,27.06,27.46,27.76,26.68
2012-12-05,27.75,27.71,27.9,27.26
2012-12-06,27.68,26.97,27.75,26.82
2012-12-07,27.07,27.485,27.78,26.84
2012-12-10,27.17,27.84,28.17,27.1
2012-12-11,28.07,27.98,28.24,27.66
2012-12-12,28.0,27.5801,28.14,27.37
2012-12-13,27.59,28.24,28.75,27.43
2012-12-14,28.18,26.812,28.33,26.76
2012-12-17,26.77,26.75,27.0,26.32
2012-12-18,26.96,27.71,27.91,26.9
2012-12-19,27.83,27.41,28.22,26.95
2012-12-20,27.49,27.36,27.6,27.13
2012-12-21,26.66,26.26,27.01,26.12
2012-12-24,26.5,26.93,26.96,26.2
2012-12-26,27.03,26.51,27.18,26.375
2012-12-27,26.55,26.05,26.8,25.52
2012-12-28,25.48,25.9112,26.11,25.15
2012-12-31,26.2,26.6197,26.99,26.11
2013-01-02,27.44,28.0,28.18,27.42
2013-01-03,27.88,27.77,28.47,27.59
2013-01-04,28.01,28.76,28.93,27.83
2013-01-07,28.69,29.4213,29.79,28.65
2013-01-08,29.51,29.0607,29.6,28.86
2013-01-09,29.67,30.59,30.6,29.49
2013-01-10,30.6,31.3,31.45,30.28
2013-01-11,31.28,31.72,31.96,31.1
2013-01-14,32.08,30.9475,32.21,30.62
2013-01-15,30.64,30.1,31.71,29.88
2013-01-16,30.21,29.85,30.35,29.53
2013-01-17,30.08,30.14,30.42,30.03
2013-01-18,30.31,29.66,30.44,29.27
2013-01-22,29.75,30.729,30.89,29.74
2013-01-23,31.1,30.82,31.5,30.8
2013-01-24,31.27,31.08,31.49,30.81
2013-01-25,31.41,31.54,31.93,31.13
2013-01-28,31.88,32.469,32.5063,31.81
2013-01-29,32.0,30.79,32.07,30.71
2013-01-30,30.98,31.24,31.49,30.88
2013-01-31,29.15,30.981,31.47,28.74
2013-02-01,31.01,29.73,31.02,29.63
2013-02-04,29.06,28.109,29.2,28.01
2013-02-05,28.26,28.64,28.96,28.04
2013-02-06,28.74,29.05,29.29,28.66
2013-02-07,29.11,28.65,29.15,28.27
2013-02-08,28.89,28.545,29.17,28.51
2013-02-11,28.61,28.26,28.68,28.04
2013-02-12,27.67,27.37,28.16,27.1
2013-02-13,27.36,27.9075,28.32,27.31
2013-02-14,28.02,28.5,28.63,28.01
2013-02-15,28.52,28.32,28.75,28.09
2013-02-19,28.23,28.93,29.08,28.12
2013-02-20,28.92,28.462,29.05,28.33
2013-02-21,28.28,27.283,28.55,27.15
2013-02-22,27.62,27.13,27.63,26.82
2013-02-25,27.16,27.27,27.64,27.15
2013-02-26,27.36,27.39,27.46,26.7
2013-02-27,27.34,26.87,27.34,26.63
2013-02-28,26.84,27.25,27.3,26.34
2013-03-01,27.05,27.78,28.1164,26.81
2013-03-04,27.76,27.72,28.06,27.44
2013-03-05,27.88,27.52,28.18,27.21
2013-03-06,28.1,27.4525,28.13,27.35
2013-03-07,27.57,28.578,28.675,27.47
2013-03-08,28.425,27.96,28.47,27.73
2013-03-11,28.01,28.14,28.64,27.83
2013-03-12,28.1,27.83,28.32,27.6
2013-03-13,27.62,27.08,27.65,26.92
2013-03-14,27.1,27.04,27.43,26.83
2013-03-15,27.03,26.645,27.06,26.56
2013-03-18,26.37,26.49,26.79,25.78
2013-03-19,26.53,26.55,26.9,26.21
2013-03-20,26.68,25.86,26.69,25.78
2013-03-21,25.66,25.74,26.11,25.56
2013-03-22,25.796,25.73,26.01,25.63
2013-03-25,25.75,25.131,25.8,25.078
2013-03-26,25.08,25.205,25.48,25.03
2013-03-27,25.0,26.09,26.28,24.72
2013-03-28,26.09,25.58,26.17,25.52
2013-04-01,25.63,25.53,25.89,25.28
2013-04-02,25.77,25.42,26.12,25.3
2013-04-03,25.83,26.25,26.39,25.7
2013-04-04,26.62,27.0725,27.2301,26.11
2013-04-05,26.86,27.39,27.8,26.61
2013-04-08,27.19,26.849,27.2,26.63
2013-04-09,26.58,26.59,26.89,26.42
2013-04-10,27.0099,27.57,27.84,26.9
2013-04-11,27.48,28.0175,28.1,27.25
2013-04-12,28.0,27.4,28.0,27.24
2013-04-15,27.16,26.52,27.48,26.36
2013-04-16,26.81,26.92,27.11,26.4
2013-04-17,26.65,26.625,27.2,26.39
2013-04-18,26.82,25.69,26.82,25.15
2013-04-19,25.62,25.73,25.96,25.33
2013-04-22,25.81,25.97,26.36,25.7
2013-04-23,26.215,25.98,26.33,25.77
2013-04-24,25.93,26.11,26.4,25.8
2013-04-25,26.07,26.14,26.4,26.0
2013-04-26,26.6,26.85,27.62,26.6
2013-04-29,27.16,26.98,27.41,26.86
2013-04-30,27.13,27.769,27.85,27.005
2013-05-01,27.85,27.43,27.915,27.31
2013-05-02,28.0099,28.97,29.02,27.98
2013-05-03,29.04,28.311,29.07,28.15
2013-05-06,28.33,27.57,28.46,27.48
2013-05-07,27.55,26.889,27.85,26.85
2013-05-08,26.88,27.12,27.3,26.65
2013-05-09,27.08,27.04,27.55,26.85
2013-05-10,27.14,26.68,27.3,26.57
2013-05-13,26.6,26.82,27.325,26.531
2013-05-14,26.8854,27.07,27.28,26.82
2013-05-15,26.92,26.6,26.99,26.4
2013-05-16,26.48,26.13,26.55,25.9
2013-05-17,26.4,26.25,26.6,26.2
2013-05-20,26.18,25.759,26.19,25.69
2013-05-21,25.87,25.66,26.075,25.59
2013-05-22,25.65,25.159,25.85,24.92
2013-05-23,24.8,25.06,25.53,24.77
2013-05-24,24.97,24.3125,24.97,24.08
2013-05-28,24.54,24.1,24.54,23.92
2013-05-29,23.79,23.32,23.81,23.26
2013-05-30,24.13,24.55,24.779,23.93
2013-05-31,24.63,24.348,24.95,24.27
2013-06-03,24.265,23.848,24.32,23.71
2013-06-04,23.89,23.52,23.93,23.32
2013-06-05,23.35,22.899,23.705,22.79
2013-06-06,22.99,22.97,23.09,22.67
2013-06-07,23.03,23.291,23.4,22.86
2013-06-10,24.06,24.33,24.6,23.99
2013-06-11,24.03,24.03,24.35,24.0
2013-06-12,24.16,23.77,24.26,23.58
2013-06-13,23.72,23.73,23.83,23.265
2013-06-14,23.56,23.63,23.89,23.26
2013-06-17,23.91,24.022,24.25,23.75
2013-06-18,24.09,24.21,24.69,24.08
2013-06-19,24.2,24.309,25.19,24.1
2013-06-20,24.28,23.9,24.745,23.65
