date,open,close,high,low
1999-11-01,93.25,92.37,94.19,92.12
1999-11-02,92.75,92.56,94.5,91.94
1999-11-03,92.94,92.0,93.5,91.5
1999-11-04,92.31,91.75,92.75,90.31
1999-11-05,91.81,91.56,92.87,90.5
1999-11-08,84.81,89.94,90.75,84.37
1999-11-09,89.75,88.87,89.87,86.44
1999-11-10,88.12,87.12,89.12,86.44
1999-11-11,88.25,89.62,90.44,88.25
1999-11-12,89.75,89.19,90.0,87.06
1999-11-15,88.25,87.0,88.5,86.94
1999-11-16,86.94,87.31,87.75,85.87
1999-11-17,86.44,85.0,87.06,85.0
1999-11-18,84.94,84.94,85.81,84.5
1999-11-19,84.44,86.0,86.56,84.37
1999-11-22,89.62,89.81,90.37,88.44
1999-11-23,89.25,89.62,91.37,88.37
1999-11-24,89.56,91.69,92.25,89.5
1999-11-26,91.62,91.12,93.37,91.0
1999-11-29,90.12,90.19,92.06,89.5
1999-11-30,89.75,91.05,92.87,89.56
1999-12-01,91.06,93.19,93.94,90.87
1999-12-02,93.06,94.81,95.25,92.87
1999-12-03,95.81,96.12,97.12,95.73
1999-12-06,95.25,95.44,97.19,94.75
1999-12-07,94.75,93.0,94.87,92.87
1999-12-08,93.12,91.75,94.31,91.69
1999-12-09,92.0,92.75,93.31,91.44
1999-12-10,93.37,93.87,94.12,92.25
1999-12-13,93.61,96.62,96.94,92.75
1999-12-14,96.19,98.69,101.12,95.31
1999-12-15,98.56,108.44,108.75,98.5
1999-12-16,109.25,113.69,115.0,108.94
1999-12-17,116.62,115.25,117.12,113.62
1999-12-20,114.81,112.75,115.0,111.19
1999-12-21,112.37,115.87,116.62,110.62
1999-12-22,116.3,117.56,118.0,115.12
1999-12-23,117.25,117.44,119.25,116.75
1999-12-27,118.44,119.12,119.25,116.12
1999-12-28,118.75,117.5,118.81,117.06
1999-12-29,116.94,117.94,118.37,116.81
1999-12-30,117.87,117.62,119.94,117.12
1999-12-31,117.5,116.75,117.75,116.25
2000-01-03,117.37,116.56,118.62,112.0
