date,open,close,high,low
2010-06-29,19.0,23.89,25.0,17.54
2010-06-30,25.79,23.83,30.4192,23.3
2010-07-01,25.0,21.96,25.92,20.27
2010-07-02,23.0,19.2,23.1,18.71
2010-07-06,20.0,16.11,20.0,15.83
2010-07-07,16.4,15.8,16.63,14.98
2010-07-08,16.14,17.46,17.52,15.57
2010-07-09,17.58,17.4,17.9,16.55
2010-07-12,17.95,17.05,18.07,17.0
2010-07-13,17.3938,18.14,18.64,16.9
2010-07-14,17.94,19.84,20.15,17.7601
2010-07-15,19.94,19.89,21.5,19.0
2010-07-16,20.7,20.64,21.3,20.05
2010-07-19,21.37,21.91,22.25,20.92
2010-07-20,21.85,20.3,21.85,20.05
2010-07-21,20.66,20.22,20.9,19.5
2010-07-22,20.5,21.0,21.25,20.37
2010-07-23,21.19,21.29,21.56,21.06
2010-07-26,21.5,20.95,21.5,20.3
2010-07-27,20.91,20.55,21.18,20.26
2010-07-28,20.55,20.72,20.9,20.51
2010-07-29,20.77,20.35,20.88,20.0
2010-07-30,20.2,19.94,20.44,19.55
2010-08-02,20.5,20.92,20.97,20.333
2010-08-03,21.0,21.95,21.95,20.82
2010-08-04,21.95,21.26,22.18,20.85
2010-08-05,21.54,20.45,21.55,20.05
2010-08-06,20.1,19.59,20.1601,19.52
2010-08-09,19.9,19.6,19.98,19.45
2010-08-10,19.65,19.03,19.65,18.82
2010-08-11,18.69,17.9,18.88,17.85
2010-08-12,17.8,17.6,17.9,17.39
2010-08-13,18.18,18.32,18.45,17.6604
2010-08-16,18.45,18.78,18.8,18.2616
2010-08-17,18.96,19.15,19.4,18.78
2010-08-18,19.59,18.77,19.59,18.6
2010-08-19,18.54,18.79,19.25,18.33
2010-08-20,18.65,19.1,19.11,18.5101
2010-08-23,19.09,20.13,20.3891,19.0
2010-08-24,19.25,19.2,19.71,18.95
2010-08-25,19.16,19.9,19.98,18.56
2010-08-26,19.89,19.75,20.27,19.6
2010-08-27,19.75,19.7,19.865,19.5
2010-08-30,19.7,19.87,20.19,19.61
2010-08-31,19.66,19.48,19.79,19.33
2010-09-01,19.62,20.45,20.69,19.6
2010-09-02,20.37,21.06,21.24,20.3103
2010-09-03,20.87,21.05,21.3,20.66
2010-09-07,20.61,20.54,21.0,20.5
2010-09-08,20.66,20.9,20.95,20.6
2010-09-09,21.0,20.71,21.05,20.69
2010-09-10,20.75,20.17,20.93,19.76
2010-09-13,20.89,20.72,20.8995,20.5
2010-09-14,20.54,21.12,21.6,20.53
2010-09-15,20.98,21.98,22.0,20.79
2010-09-16,22.15,20.94,23.16,20.84
2010-09-17,21.02,20.23,21.32,19.8
2010-09-20,20.67,21.055,21.35,20.16
2010-09-21,20.89,20.77,21.55,20.67
2010-09-22,20.87,19.87,20.95,19.8
2010-09-23,19.89,19.56,20.14,19.5
2010-09-24,19.95,20.1,20.19,19.65
2010-09-27,20.4,20.53,20.81,20.05
2010-09-28,21.04,21.4,21.49,20.76
2010-09-29,21.19,21.98,22.03,21.13
2010-09-30,22.0,20.405,22.1499,20.19
2010-10-01,20.69,20.6,20.75,20.31
2010-10-04,20.43,20.99,21.17,20.3
2010-10-05,21.15,21.12,21.28,21.01
2010-10-06,21.06,20.46,21.258,20.32
2010-10-07,20.57,20.43,20.64,20.34
2010-10-08,20.43,20.43,20.79,20.39
2010-10-11,20.44,20.24,20.699,20.07
2010-10-12,20.2,20.24,20.2829,20.03
2010-10-13,20.64,20.54,20.85,20.36
2010-10-14,21.0,20.75,21.0299,20.4
2010-10-15,20.89,20.54,20.9,20.25
2010-10-18,20.52,20.23,20.6399,20.22
2010-10-19,20.2,20.05,20.4061,20.0
2010-10-20,20.16,20.65,20.69,20.04
2010-10-21,20.61,20.75,20.95,20.45
2010-10-22,20.68,20.72,20.93,20.55
2010-10-25,20.94,20.85,20.98,20.73
2010-10-26,20.8,21.36,21.87,20.51
2010-10-27,21.25,21.0,21.38,20.65
2010-10-28,21.39,21.19,21.5,20.96
2010-10-29,21.14,21.84,21.85,21.052
2010-11-01,21.94,21.41,22.75,21.31
2010-11-02,21.68,21.25,21.8792,21.05
2010-11-03,21.28,21.77,22.5,21.16
2010-11-04,22.6,24.9,25.33,22.151
2010-11-05,24.87,24.44,24.97,23.72
2010-11-08,24.5,24.98,25.0,24.03
2010-11-09,25.0,24.63,25.69,24.0501
2010-11-10,24.48,29.36,29.97,24.05
2010-11-11,28.6,28.035,29.1,27.33
2010-11-12,28.25,29.84,30.5,28.07
2010-11-15,30.22,30.8,32.9395,30.22
2010-11-16,31.0,29.67,31.4,28.42
2010-11-17,30.2,29.49,30.75,28.61
2010-11-18,30.67,29.89,30.74,28.9201
2010-11-19,30.16,30.99,31.37,29.7
2010-11-22,31.57,33.4,33.45,31.5
2010-11-23,33.29,34.57,35.68,32.1901
2010-11-24,35.27,35.47,35.97,34.334
2010-11-26,35.6,35.32,36.0,34.75
2010-11-29,35.4122,34.33,35.95,33.33
2010-11-30,33.74,35.33,35.33,33.41
2010-12-01,35.87,34.35,36.42,33.45
2010-12-02,34.01,32.35,34.2975,31.2
2010-12-03,32.01,31.49,32.25,30.87
2010-12-06,31.35,30.31,31.45,29.56
2010-12-07,30.49,31.56,32.4,30.05
2010-12-08,32.48,32.37,32.49,31.52
2010-12-09,32.51,32.05,32.72,31.65
2010-12-10,32.05,31.52,32.92,31.1301
2010-12-13,31.64,30.55,31.77,30.4
2010-12-14,30.29,28.53,30.3899,27.761
2010-12-15,28.67,29.6,29.97,28.53
2010-12-16,30.0,30.81,30.91,29.6501
2010-12-17,31.34,31.36,31.54,30.71
2010-12-20,31.64,31.7,32.19,31.26
2010-12-21,31.8,32.26,32.69,31.7101
