date,open,close,high,low
1999-11-01,89.5,87.0,90.38,87.0
1999-11-02,87.63,88.88,90.5,87.56
1999-11-03,90.56,91.63,93.0,89.5
1999-11-04,93.81,95.94,96.25,92.81
1999-11-05,98.0,93.44,98.63,92.0
1999-11-08,92.13,92.25,94.25,91.75
1999-11-09,93.5,93.44,94.75,92.0
1999-11-10,93.69,97.38,97.94,92.56
1999-11-11,99.63,101.4,102.5,99.38
1999-11-12,101.5,100.8,102.0,96.88
1999-11-15,101.0,98.63,101.2,97.75
1999-11-16,97.88,100.9,100.9,96.88
1999-11-17,98.25,94.94,99.41,93.94
1999-11-18,96.0,98.13,99.75,95.75
1999-11-19,98.0,98.19,99.5,96.19
1999-11-22,98.0,99.25,99.44,95.38
1999-11-23,99.94,99.94,102.5,98.06
1999-11-24,100.5,101.0,102.8,98.56
1999-11-26,103.3,103.1,104.8,102.6
1999-11-29,102.4,100.0,104.9,99.81
1999-11-30,99.88,96.06,102.1,95.75
1999-12-01,96.25,99.25,99.31,96.19
1999-12-02,99.44,99.9,101.5,98.25
1999-12-03,102.5,101.4,103.8,99.94
1999-12-06,102.4,107.3,107.3,102.1
1999-12-07,107.0,104.4,107.5,104.1
1999-12-08,105.3,108.5,111.3,104.6
1999-12-09,110.0,107.0,111.5,104.3
1999-12-10,106.0,106.9,107.7,103.1
1999-12-13,106.8,106.1,108.9,104.3
1999-12-14,105.9,96.56,106.0,96.31
1999-12-15,95.5,95.63,98.5,92.63
1999-12-16,99.88,100.1,100.9,97.06
1999-12-17,101.9,101.9,102.6,99.25
1999-12-20,100.5,100.4,101.9,99.06
1999-12-21,101.0,106.6,106.6,100.4
1999-12-22,106.4,107.8,109.0,105.3
1999-12-23,107.8,107.5,108.1,105.9
1999-12-27,107.3,107.0,107.3,103.3
1999-12-28,107.0,107.4,108.5,106.1
1999-12-29,107.4,106.2,107.6,104.2
1999-12-30,106.6,99.38,107.3,98.69
1999-12-31,97.88,96.63,98.56,96.63
2000-01-03,99.5,102.9,103.0,98.38
2000-01-04,101.5,98.5,101.6,97.75
2000-01-05,98.5,96.69,99.25,96.13
2000-01-06,96.38,93.5,97.5,90.5
2000-01-07,92.56,94.0,95.13,91.38
2000-01-10,98.44,100.4,101.3,97.5
2000-01-11,100.5,99.06,102.9,98.56
2000-01-12,99.25,101.0,103.1,98.44
2000-01-13,102.5,102.4,103.8,98.63
2000-01-14,104.9,107.9,108.1,104.8
2000-01-18,105.0,110.4,111.4,105.0
2000-01-19,111.9,109.5,112.0,108.9
2000-01-20,112.0,112.9,115.1,110.8
2000-01-21,114.8,110.8,115.1,109.9
2000-01-24,114.5,110.9,117.5,108.0
2000-01-25,112.9,113.9,117.3,111.1
2000-01-26,113.3,112.5,113.5,109.9
2000-01-27,112.3,113.0,116.5,109.7
2000-01-28,112.1,107.1,113.3,104.9
2000-01-31,106.9,107.8,108.0,102.0
2000-02-01,107.6,113.1,113.4,105.9
2000-02-02,115.4,119.4,120.4,114.4
2000-02-03,121.0,134.0,134.5,120.6
2000-02-04,131.8,132.0,139.0,130.3
2000-02-07,131.3,134.5,135.4,131.3
2000-02-08,135.1,138.9,139.6,134.8
2000-02-09,139.1,140.9,143.1,138.1
2000-02-10,140.6,145.0,145.0,138.0
2000-02-11,143.0,137.6,143.3,136.0
2000-02-14,138.8,134.6,139.3,132.0
2000-02-15,134.6,134.9,135.8,130.3
2000-02-16,135.9,135.8,139.8,135.3
2000-02-17,135.9,143.0,145.0,135.9
2000-02-18,145.0,134.0,145.0,134.0
2000-02-22,142.0,149.0,150.0,137.5
2000-02-23,148.8,147.1,153.1,144.5
2000-02-24,149.0,157.8,159.0,148.6
2000-02-25,157.4,153.3,160.8,152.8
2000-02-28,153.3,155.9,157.5,146.0
2000-02-29,157.0,166.1,169.7,157.0
2000-03-01,167.4,164.4,170.0,157.8
