date,open,close,high,low
1999-11-01,28.13,27.5,28.69,27.25
1999-11-02,27.0,26.38,27.44,26.13
1999-11-03,27.0,26.44,27.0,25.38
1999-11-04,27.13,26.75,27.13,26.31
1999-11-05,26.56,25.88,27.0,25.63
1999-11-08,26.06,25.69,26.44,25.56
1999-11-09,25.88,25.5,26.13,25.5
1999-11-10,25.5,25.75,26.13,25.38
1999-11-11,25.56,25.25,25.94,24.94
1999-11-12,25.75,24.81,25.75,24.81
1999-11-15,25.75,25.56,25.88,24.94
1999-11-16,25.88,25.75,25.94,25.13
1999-11-17,25.56,24.88,25.69,24.81
1999-11-18,25.5,27.75,28.0,25.25
1999-11-19,28.38,28.69,30.5,27.88
1999-11-22,30.0,29.05,30.0,28.38
1999-11-23,29.0,28.19,29.0,28.13
1999-11-24,28.13,28.19,28.75,27.69
1999-11-26,28.31,28.19,28.75,28.0
1999-11-29,28.0,27.5,28.38,27.38
1999-11-30,27.25,27.38,27.38,26.5
1999-12-01,26.63,26.5,26.94,26.25
1999-12-02,26.75,26.25,26.94,26.25
1999-12-03,26.88,25.94,27.0,25.69
1999-12-06,25.94,26.06,26.88,25.69
1999-12-07,26.19,25.5,26.25,25.31
1999-12-08,26.0,24.44,26.0,24.13
1999-12-09,24.88,23.44,24.88,23.31
1999-12-10,23.5,20.0,25.19,19.0
1999-12-13,20.5,21.48,22.44,20.25
1999-12-14,21.31,23.06,23.75,21.25
1999-12-15,22.5,22.13,23.13,21.81
1999-12-16,22.63,21.75,22.75,21.56
1999-12-17,20.75,20.75,20.75,20.75
1999-12-20,21.38,21.11,21.5,20.69
1999-12-21,20.81,20.88,21.19,20.63
1999-12-22,21.06,21.69,21.75,21.0
1999-12-23,22.0,21.88,22.75,21.13
1999-12-27,22.25,22.19,22.38,21.88
1999-12-28,22.06,22.25,22.38,21.75
1999-12-29,22.19,22.25,22.44,21.88
1999-12-30,22.31,22.88,23.19,22.25
1999-12-31,22.81,22.69,23.13,22.63
2000-01-03,23.38,24.19,24.88,23.19
2000-01-04,24.19,23.06,24.19,22.94
2000-01-05,23.0,23.19,23.38,22.56
2000-01-06,23.56,23.75,23.94,23.38
2000-01-07,23.75,24.31,24.75,23.06
2000-01-10,24.75,23.75,24.75,23.63
2000-01-11,23.88,23.5,24.06,23.19
2000-01-12,23.25,23.44,23.75,23.19
2000-01-13,23.5,24.06,24.19,23.13
2000-01-14,24.19,23.56,24.31,23.31
2000-01-18,23.75,23.63,23.81,23.31
2000-01-19,23.44,23.81,23.81,22.19
2000-01-20,23.5,22.75,23.5,22.63
2000-01-21,22.94,22.13,22.94,22.0
2000-01-24,22.31,21.75,22.75,21.38
2000-01-25,22.0,21.94,22.38,21.0
2000-01-26,22.31,22.0,22.56,21.88
2000-01-27,22.31,21.44,22.31,21.0
2000-01-28,21.38,20.5,21.44,20.5
2000-01-31,21.13,20.88,21.19,20.63
2000-02-01,20.94,20.81,21.25,20.75
2000-02-02,21.19,20.94,21.5,20.88
2000-02-03,21.31,21.75,21.75,21.06
2000-02-04,22.0,22.0,22.19,21.56
2000-02-07,21.94,21.69,22.0,21.56
2000-02-08,21.69,21.75,22.31,21.19
2000-02-09,22.0,21.63,22.38,21.38
2000-02-10,21.5,20.75,21.5,20.5
2000-02-11,20.88,20.25,20.88,20.13
2000-02-14,21.0,22.0,22.13,20.88
2000-02-15,22.19,22.25,22.44,21.31
2000-02-16,21.75,21.44,21.88,21.31
2000-02-17,21.69,20.88,21.75,20.81
2000-02-18,20.88,21.0,21.13,20.69
2000-02-22,20.94,20.94,21.13,20.63
2000-02-23,21.0,20.63,21.19,20.56
2000-02-24,20.69,20.38,20.69,20.06
2000-02-25,20.25,20.13,20.81,20.0
2000-02-28,20.19,20.75,20.75,20.06
2000-02-29,20.19,21.75,24.0,20.19
2000-03-01,22.19,21.56,22.19,20.81
2000-03-02,21.5,21.19,21.63,20.75
2000-03-03,21.5,20.94,21.94,20.88
2000-03-06,21.0,21.5,21.56,21.0
2000-03-07,21.56,20.69,21.88,20.5
2000-03-08,20.81,21.25,21.31,20.31
2000-03-09,21.25,22.5,24.0,20.75
2000-03-10,22.94,24.31,24.38,22.75
2000-03-13,23.5,24.5,25.0,23.13
2000-03-14,24.25,23.25,24.63,23.06
2000-03-15,23.88,25.5,26.0,23.56
2000-03-16,26.38,25.63,26.56,25.25
2000-03-17,25.25,25.81,25.94,25.19
2000-03-20,26.0,26.0,26.81,25.75
2000-03-21,26.38,29.75,29.75,26.25
2000-03-22,28.25,27.0,28.88,27.0
2000-03-23,27.38,26.88,27.69,26.75
2000-03-24,27.06,26.81,27.69,26.44
2000-03-27,26.88,26.95,27.63,26.75
2000-03-28,26.94,26.75,27.38,26.75
2000-03-29,26.75,26.75,27.0,25.81
2000-03-30,26.25,26.56,26.56,25.63
2000-03-31,26.5,26.0,27.19,26.0
2000-04-03,25.75,25.06,25.81,25.0
2000-04-04,25.44,25.38,26.5,24.38
2000-04-05,25.38,25.5,26.19,25.06
2000-04-06,25.56,27.38,27.75,25.56
2000-04-07,27.75,27.75,28.06,27.5
2000-04-10,28.0,27.13,28.44,26.88
2000-04-11,27.0,26.56,27.19,26.5
2000-04-12,26.63,26.63,27.13,26.44
2000-04-13,26.44,25.5,26.5,25.5
2000-04-14,25.44,24.13,25.5,24.13
2000-04-17,24.25,24.88,24.88,23.94
2000-04-18,24.81,24.0,25.19,24.0
2000-04-19,25.13,25.75,25.75,24.81
2000-04-20,25.13,25.06,25.31,24.75
2000-04-24,24.94,24.13,25.13,23.63
2000-04-25,25.63,26.69,27.81,25.44
2000-04-26,26.44,28.0,28.19,26.38
2000-04-27,27.5,27.06,27.81,26.88
2000-04-28,27.88,26.5,27.88,26.25
2000-05-01,26.94,27.06,27.44,26.63
2000-05-02,27.06,26.5,27.25,26.5
2000-05-03,26.88,26.75,27.31,26.25
2000-05-04,27.0,26.75,27.56,26.75
